run;repetition;Module;queuedPacketsPerSlot:mean
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.antenna;3.5489998499636
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.antenna;3.6546638901446
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.antenna;3.5740970919107
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.antenna;3.6266561517115
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.antenna;3.6251338920043
binomialCQITwoChunks-105-20171219-21:43:27-4376;5;Network.antenna;3.5639690022459
binomialCQITwoChunks-106-20171219-21:43:28-10708;6;Network.antenna;3.593711656157
binomialCQITwoChunks-107-20171219-21:43:28-12544;7;Network.antenna;3.5418227423821
binomialCQITwoChunks-108-20171219-21:43:28-12300;8;Network.antenna;3.5692632372617
binomialCQITwoChunks-109-20171219-21:43:30-3668;9;Network.antenna;3.5692036971864
binomialCQITwoChunks-110-20171219-21:43:32-11788;10;Network.antenna;3.533432527351
binomialCQITwoChunks-111-20171219-21:43:35-12900;11;Network.antenna;3.5288314222438
binomialCQITwoChunks-112-20171219-21:43:35-1560;12;Network.antenna;3.5585970248915
binomialCQITwoChunks-113-20171219-21:43:37-200;13;Network.antenna;3.5619761644394
binomialCQITwoChunks-114-20171219-21:43:37-4464;14;Network.antenna;3.6333968786161
binomialCQITwoChunks-115-20171219-21:43:38-2464;15;Network.antenna;3.5903344042381
binomialCQITwoChunks-116-20171219-21:43:38-1396;16;Network.antenna;3.6584635818924
binomialCQITwoChunks-117-20171219-21:43:40-14416;17;Network.antenna;3.5833385844283
binomialCQITwoChunks-118-20171219-21:43:41-5556;18;Network.antenna;3.5852890473213
binomialCQITwoChunks-119-20171219-21:43:45-14000;19;Network.antenna;3.6528348565324
binomialCQITwoChunks-120-20171219-21:43:45-12224;20;Network.antenna;3.5664030507306
binomialCQITwoChunks-121-20171219-21:43:46-2676;21;Network.antenna;3.6162222284014
binomialCQITwoChunks-122-20171219-21:43:47-7056;22;Network.antenna;3.6129422353255
binomialCQITwoChunks-123-20171219-21:43:47-13080;23;Network.antenna;3.6168373731716
binomialCQITwoChunks-124-20171219-21:43:48-7540;24;Network.antenna;3.5413839564094
binomialCQITwoChunks-125-20171219-21:43:49-1252;25;Network.antenna;3.5381722981993
binomialCQITwoChunks-126-20171219-21:43:51-9540;26;Network.antenna;3.6258155103492
binomialCQITwoChunks-127-20171219-21:43:55-11684;27;Network.antenna;3.5527262616433
binomialCQITwoChunks-128-20171219-21:43:57-12792;28;Network.antenna;3.5455356215791
binomialCQITwoChunks-129-20171219-21:43:58-4860;29;Network.antenna;3.5478039814417
binomialCQITwoChunks-130-20171219-21:43:58-14764;30;Network.antenna;3.5812695706954
binomialCQITwoChunks-131-20171219-21:43:58-14860;31;Network.antenna;3.5697259742419
binomialCQITwoChunks-132-20171219-21:43:59-7120;32;Network.antenna;3.6129749318882
binomialCQITwoChunks-133-20171219-21:43:59-12312;33;Network.antenna;3.6341374451721
binomialCQITwoChunks-134-20171219-21:44:01-11380;34;Network.antenna;3.5767006604453
binomialCQITwoChunks-135-20171219-21:44:05-13568;35;Network.antenna;3.6094892879326
binomialCQITwoChunks-136-20171219-21:44:07-3404;36;Network.antenna;3.5955532586468
binomialCQITwoChunks-137-20171219-21:44:07-10572;37;Network.antenna;3.5461997557853
binomialCQITwoChunks-138-20171219-21:44:07-7940;38;Network.antenna;3.5671195983464
binomialCQITwoChunks-139-20171219-21:44:08-8300;39;Network.antenna;3.6285195243347
binomialCQITwoChunks-140-20171219-21:44:08-15108;40;Network.antenna;3.5929009380599
binomialCQITwoChunks-141-20171219-21:44:09-7588;41;Network.antenna;3.6124967533672
binomialCQITwoChunks-142-20171219-21:44:11-15048;42;Network.antenna;3.5747231821708
binomialCQITwoChunks-143-20171219-21:44:15-8288;43;Network.antenna;3.5559762954408
binomialCQITwoChunks-144-20171219-21:44:16-6768;44;Network.antenna;3.5602212685918
binomialCQITwoChunks-145-20171219-21:44:17-14668;45;Network.antenna;3.5754748737677
binomialCQITwoChunks-146-20171219-21:44:17-14396;46;Network.antenna;3.5640331669797
binomialCQITwoChunks-147-20171219-21:44:18-13500;47;Network.antenna;3.6122574074074
binomialCQITwoChunks-148-20171219-21:44:18-7784;48;Network.antenna;3.5953300187947
binomialCQITwoChunks-149-20171219-21:44:19-7448;49;Network.antenna;3.5566936685099
binomialCQITwoChunks-150-20171219-21:44:20-2024;50;Network.antenna;3.5631058793907
binomialCQITwoChunks-151-20171219-21:44:25-8348;51;Network.antenna;3.5775879421112
binomialCQITwoChunks-152-20171219-21:44:26-3664;52;Network.antenna;3.57391222334
binomialCQITwoChunks-153-20171219-21:44:26-14404;53;Network.antenna;3.5410576431066
binomialCQITwoChunks-154-20171219-21:44:26-10480;54;Network.antenna;3.6263148141285
binomialCQITwoChunks-155-20171219-21:44:27-6920;55;Network.antenna;3.5904897655805
binomialCQITwoChunks-156-20171219-21:44:27-5604;56;Network.antenna;3.555007783639
binomialCQITwoChunks-157-20171219-21:44:29-7844;57;Network.antenna;3.5654573825211
binomialCQITwoChunks-158-20171219-21:44:30-3140;58;Network.antenna;3.62618175105
binomialCQITwoChunks-159-20171219-21:44:34-11788;59;Network.antenna;3.5428008211118
binomialCQITwoChunks-160-20171219-21:44:36-9616;60;Network.antenna;3.5840428542626
