run;repetition;Module;queueingTime:mean
binomialCQITwoChunks-170-20171219-21:44:47-6060;70;Network.antenna;0.00063320517699405
binomialCQITwoChunks-171-20171219-21:44:47-5292;71;Network.antenna;0.00063849000103681
binomialCQITwoChunks-172-20171219-21:44:48-12296;72;Network.antenna;0.00063143949455974
binomialCQITwoChunks-173-20171219-21:44:52-10204;73;Network.antenna;0.00063535370117328
binomialCQITwoChunks-174-20171219-21:44:52-3496;74;Network.antenna;0.00063379171914149
binomialCQITwoChunks-175-20171219-21:44:57-9376;75;Network.antenna;0.00062833008177707
binomialCQITwoChunks-176-20171219-21:44:57-14776;76;Network.antenna;0.00063182926818204
binomialCQITwoChunks-177-20171219-21:44:57-15100;77;Network.antenna;0.00063152250798301
binomialCQITwoChunks-178-20171219-21:44:58-4256;78;Network.antenna;0.00062385899337177
binomialCQITwoChunks-179-20171219-21:44:58-1996;79;Network.antenna;0.00064453778921906
binomialCQITwoChunks-180-20171219-21:45:02-10024;80;Network.antenna;0.00063657399855602
binomialCQITwoChunks-181-20171219-21:45:02-3596;81;Network.antenna;0.00063914081462663
binomialCQITwoChunks-182-20171219-21:45:04-2320;82;Network.antenna;0.00063808441123618
binomialCQITwoChunks-183-20171219-21:45:07-14764;83;Network.antenna;0.00063525713613787
binomialCQITwoChunks-184-20171219-21:45:07-1468;84;Network.antenna;0.00063169629901954
binomialCQITwoChunks-185-20171219-21:45:08-9452;85;Network.antenna;0.00062565156012771
binomialCQITwoChunks-186-20171219-21:45:09-10404;86;Network.antenna;0.00064035012962395
binomialCQITwoChunks-187-20171219-21:45:09-12888;87;Network.antenna;0.00063873592414694
binomialCQITwoChunks-188-20171219-21:45:12-10968;88;Network.antenna;0.00062854132339615
binomialCQITwoChunks-189-20171219-21:45:13-14992;89;Network.antenna;0.00063623318205581
binomialCQITwoChunks-190-20171219-21:45:14-14816;90;Network.antenna;0.0006393752179441
binomialCQITwoChunks-191-20171219-21:45:18-7364;91;Network.antenna;0.00063532462790514
binomialCQITwoChunks-192-20171219-21:45:18-3892;92;Network.antenna;0.00063440291246569
binomialCQITwoChunks-193-20171219-21:45:18-8328;93;Network.antenna;0.00063681047155554
binomialCQITwoChunks-194-20171219-21:45:19-14988;94;Network.antenna;0.00064797459573646
binomialCQITwoChunks-195-20171219-21:45:20-15036;95;Network.antenna;0.00063669677237622
binomialCQITwoChunks-196-20171219-21:45:22-13400;96;Network.antenna;0.00064297725485696
binomialCQITwoChunks-197-20171219-21:45:23-2476;97;Network.antenna;0.00064249458325603
binomialCQITwoChunks-198-20171219-21:45:25-4040;98;Network.antenna;0.00063457745265478
binomialCQITwoChunks-199-20171219-21:45:28-8820;99;Network.antenna;0.00063155454319484
