run;repetition;Module;throughput:mean
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.antenna;18759.297118921
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.antenna;18718.53312741
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.antenna;18750.638326241
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.antenna;18754.322729747
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.antenna;18740.393995622
binomialCQITwoChunks-105-20171219-21:43:27-4376;5;Network.antenna;18749.380562438
binomialCQITwoChunks-106-20171219-21:43:28-10708;6;Network.antenna;18684.112398751
binomialCQITwoChunks-107-20171219-21:43:28-12544;7;Network.antenna;18778.388017911
binomialCQITwoChunks-108-20171219-21:43:28-12300;8;Network.antenna;18809.255452717
binomialCQITwoChunks-109-20171219-21:43:30-3668;9;Network.antenna;18742.241752869
binomialCQITwoChunks-110-20171219-21:43:32-11788;10;Network.antenna;18695.057832691
binomialCQITwoChunks-111-20171219-21:43:35-12900;11;Network.antenna;18714.637615138
binomialCQITwoChunks-112-20171219-21:43:35-1560;12;Network.antenna;18732.230752992
binomialCQITwoChunks-113-20171219-21:43:37-200;13;Network.antenna;18741.031766314
binomialCQITwoChunks-114-20171219-21:43:37-4464;14;Network.antenna;18701.203319963
binomialCQITwoChunks-115-20171219-21:43:38-2464;15;Network.antenna;18723.760847102
binomialCQITwoChunks-116-20171219-21:43:38-1396;16;Network.antenna;18769.408117688
binomialCQITwoChunks-117-20171219-21:43:40-14416;17;Network.antenna;18721.076432484
binomialCQITwoChunks-118-20171219-21:43:41-5556;18;Network.antenna;18719.583115743
binomialCQITwoChunks-119-20171219-21:43:45-14000;19;Network.antenna;18706.676592482
binomialCQITwoChunks-120-20171219-21:43:45-12224;20;Network.antenna;18741.857312697
binomialCQITwoChunks-121-20171219-21:43:46-2676;21;Network.antenna;18750.38721792
binomialCQITwoChunks-122-20171219-21:43:47-7056;22;Network.antenna;18755.117165365
binomialCQITwoChunks-123-20171219-21:43:47-13080;23;Network.antenna;18778.148020578
binomialCQITwoChunks-124-20171219-21:43:48-7540;24;Network.antenna;18699.854446062
binomialCQITwoChunks-125-20171219-21:43:49-1252;25;Network.antenna;18714.170953656
binomialCQITwoChunks-126-20171219-21:43:51-9540;26;Network.antenna;18736.785146832
binomialCQITwoChunks-127-20171219-21:43:55-11684;27;Network.antenna;18709.84655726
binomialCQITwoChunks-128-20171219-21:43:57-12792;28;Network.antenna;18735.322940856
binomialCQITwoChunks-129-20171219-21:43:58-4860;29;Network.antenna;18737.310696548
binomialCQITwoChunks-130-20171219-21:43:58-14764;30;Network.antenna;18728.376351374
binomialCQITwoChunks-131-20171219-21:43:58-14860;31;Network.antenna;18807.465472606
binomialCQITwoChunks-132-20171219-21:43:59-7120;32;Network.antenna;18772.575860268
binomialCQITwoChunks-133-20171219-21:43:59-12312;33;Network.antenna;18744.166175931
binomialCQITwoChunks-134-20171219-21:44:01-11380;34;Network.antenna;18740.740658437
binomialCQITwoChunks-135-20171219-21:44:05-13568;35;Network.antenna;18721.739758447
binomialCQITwoChunks-136-20171219-21:44:07-3404;36;Network.antenna;18767.997022255
binomialCQITwoChunks-137-20171219-21:44:07-10572;37;Network.antenna;18726.288596793
binomialCQITwoChunks-138-20171219-21:44:07-7940;38;Network.antenna;18807.987689026
binomialCQITwoChunks-139-20171219-21:44:08-8300;39;Network.antenna;18732.567415918
binomialCQITwoChunks-140-20171219-21:44:08-15108;40;Network.antenna;18740.26066377
binomialCQITwoChunks-141-20171219-21:44:09-7588;41;Network.antenna;18679.802446639
binomialCQITwoChunks-142-20171219-21:44:11-15048;42;Network.antenna;18678.05579938
binomialCQITwoChunks-143-20171219-21:44:15-8288;43;Network.antenna;18747.585026833
binomialCQITwoChunks-144-20171219-21:44:16-6768;44;Network.antenna;18774.123620849
binomialCQITwoChunks-145-20171219-21:44:17-14668;45;Network.antenna;18770.482550194
binomialCQITwoChunks-146-20171219-21:44:17-14396;46;Network.antenna;18746.167264808
binomialCQITwoChunks-147-20171219-21:44:18-13500;47;Network.antenna;18758.003799958
binomialCQITwoChunks-148-20171219-21:44:18-7784;48;Network.antenna;18767.483694626
binomialCQITwoChunks-149-20171219-21:44:19-7448;49;Network.antenna;18730.282996856
binomialCQITwoChunks-150-20171219-21:44:20-2024;50;Network.antenna;18771.046988367
binomialCQITwoChunks-151-20171219-21:44:25-8348;51;Network.antenna;18837.669581449
binomialCQITwoChunks-152-20171219-21:44:26-3664;52;Network.antenna;18774.925834157
binomialCQITwoChunks-153-20171219-21:44:26-14404;53;Network.antenna;18739.032899634
binomialCQITwoChunks-154-20171219-21:44:26-10480;54;Network.antenna;18732.891856757
binomialCQITwoChunks-155-20171219-21:44:27-6920;55;Network.antenna;18741.707314363
binomialCQITwoChunks-156-20171219-21:44:27-5604;56;Network.antenna;18704.902167754
binomialCQITwoChunks-157-20171219-21:44:29-7844;57;Network.antenna;18716.913145409
binomialCQITwoChunks-158-20171219-21:44:30-3140;58;Network.antenna;18832.068532572
binomialCQITwoChunks-159-20171219-21:44:34-11788;59;Network.antenna;18725.278608015
binomialCQITwoChunks-160-20171219-21:44:36-9616;60;Network.antenna;18774.022510861
binomialCQITwoChunks-161-20171219-21:44:36-7816;61;Network.antenna;18749.198342241
binomialCQITwoChunks-162-20171219-21:44:36-10088;62;Network.antenna;18734.904056622
binomialCQITwoChunks-163-20171219-21:44:37-13744;63;Network.antenna;18721.763091521
binomialCQITwoChunks-164-20171219-21:44:37-492;64;Network.antenna;18816.259819335
binomialCQITwoChunks-165-20171219-21:44:39-1472;65;Network.antenna;18734.63517072
binomialCQITwoChunks-166-20171219-21:44:41-11008;66;Network.antenna;18743.252852746
binomialCQITwoChunks-167-20171219-21:44:45-3156;67;Network.antenna;18783.921289763
binomialCQITwoChunks-168-20171219-21:44:46-12272;68;Network.antenna;18748.278352463
binomialCQITwoChunks-169-20171219-21:44:46-6616;69;Network.antenna;18737.11069877
binomialCQITwoChunks-170-20171219-21:44:47-6060;70;Network.antenna;18764.297063366
binomialCQITwoChunks-171-20171219-21:44:47-5292;71;Network.antenna;18749.83833513
binomialCQITwoChunks-172-20171219-21:44:48-12296;72;Network.antenna;18767.192586749
binomialCQITwoChunks-173-20171219-21:44:52-10204;73;Network.antenna;18789.970111443
binomialCQITwoChunks-174-20171219-21:44:52-3496;74;Network.antenna;18775.556938256
binomialCQITwoChunks-175-20171219-21:44:57-9376;75;Network.antenna;18715.914267619
binomialCQITwoChunks-176-20171219-21:44:57-14776;76;Network.antenna;18736.055154943
binomialCQITwoChunks-177-20171219-21:44:57-15100;77;Network.antenna;18754.159398229
binomialCQITwoChunks-178-20171219-21:44:58-4256;78;Network.antenna;18730.137442917
binomialCQITwoChunks-179-20171219-21:44:58-1996;79;Network.antenna;18715.97648915
binomialCQITwoChunks-180-20171219-21:45:02-10024;80;Network.antenna;18729.014122065
binomialCQITwoChunks-181-20171219-21:45:02-3596;81;Network.antenna;18734.990722325
binomialCQITwoChunks-182-20171219-21:45:04-2320;82;Network.antenna;18714.229841891
binomialCQITwoChunks-183-20171219-21:45:07-14764;83;Network.antenna;18684.287952356
binomialCQITwoChunks-184-20171219-21:45:07-1468;84;Network.antenna;18716.715369829
binomialCQITwoChunks-185-20171219-21:45:08-9452;85;Network.antenna;18696.775591382
binomialCQITwoChunks-186-20171219-21:45:09-10404;86;Network.antenna;18727.467472584
binomialCQITwoChunks-187-20171219-21:45:09-12888;87;Network.antenna;18705.131054099
binomialCQITwoChunks-188-20171219-21:45:12-10968;88;Network.antenna;18745.408384351
binomialCQITwoChunks-189-20171219-21:45:13-14992;89;Network.antenna;18750.274996944
binomialCQITwoChunks-190-20171219-21:45:14-14816;90;Network.antenna;18803.192186753
binomialCQITwoChunks-191-20171219-21:45:18-7364;91;Network.antenna;18727.0030333
