run;repetition;Module;queueingTime:mean
binomialCQITwoChunks-70-20171219-21:42:32-6576;70;Network.antenna;0.0010621093576433
binomialCQITwoChunks-71-20171219-21:42:37-12956;71;Network.antenna;0.0010291519572845
binomialCQITwoChunks-72-20171219-21:42:37-2320;72;Network.antenna;0.0010335904514258
binomialCQITwoChunks-73-20171219-21:42:38-1276;73;Network.antenna;0.0010961864959008
binomialCQITwoChunks-74-20171219-21:42:39-3348;74;Network.antenna;0.0010605356093569
binomialCQITwoChunks-75-20171219-21:42:39-10308;75;Network.antenna;0.0010274009501337
binomialCQITwoChunks-76-20171219-21:42:40-2688;76;Network.antenna;0.0010576362397525
binomialCQITwoChunks-77-20171219-21:42:41-6584;77;Network.antenna;0.00102948849322
binomialCQITwoChunks-78-20171219-21:42:44-14776;78;Network.antenna;0.0010173519465892
binomialCQITwoChunks-79-20171219-21:42:48-11852;79;Network.antenna;0.0011330509100792
binomialCQITwoChunks-80-20171219-21:42:48-3428;80;Network.antenna;0.0010190544866858
binomialCQITwoChunks-81-20171219-21:42:51-8700;81;Network.antenna;0.0010526877151613
binomialCQITwoChunks-82-20171219-21:42:51-4780;82;Network.antenna;0.0010224260818823
binomialCQITwoChunks-83-20171219-21:42:51-2180;83;Network.antenna;0.001015813744592
binomialCQITwoChunks-84-20171219-21:42:51-12548;84;Network.antenna;0.0010291912829092
binomialCQITwoChunks-85-20171219-21:42:52-2588;85;Network.antenna;0.0010351310547533
binomialCQITwoChunks-86-20171219-21:42:56-3592;86;Network.antenna;0.0011017057563596
binomialCQITwoChunks-87-20171219-21:43:02-11724;87;Network.antenna;0.0010610264399621
binomialCQITwoChunks-88-20171219-21:43:02-9776;88;Network.antenna;0.00099889693576639
binomialCQITwoChunks-89-20171219-21:43:03-13500;89;Network.antenna;0.0010750655769503
binomialCQITwoChunks-90-20171219-21:43:04-10932;90;Network.antenna;0.0011094713826732
binomialCQITwoChunks-91-20171219-21:43:05-7224;91;Network.antenna;0.0010501604004569
binomialCQITwoChunks-92-20171219-21:43:05-13116;92;Network.antenna;0.0010373745391464
binomialCQITwoChunks-93-20171219-21:43:07-8212;93;Network.antenna;0.0010443686754991
binomialCQITwoChunks-94-20171219-21:43:09-6956;94;Network.antenna;0.0010549580489722
binomialCQITwoChunks-95-20171219-21:43:14-10940;95;Network.antenna;0.0010926081802859
binomialCQITwoChunks-96-20171219-21:43:14-9068;96;Network.antenna;0.0010723221161186
binomialCQITwoChunks-97-20171219-21:43:15-3484;97;Network.antenna;0.0011105771818343
binomialCQITwoChunks-98-20171219-21:43:16-13412;98;Network.antenna;0.001053043212227
binomialCQITwoChunks-99-20171219-21:43:16-12644;99;Network.antenna;0.0010194192642521
