run;repetition;Module;queueingTime:mean
binomialCQITwoChunks-204-20171219-21:45:32-5936;4;Network.antenna;0.00053072885160804
binomialCQITwoChunks-281-20171219-21:46:56-9272;81;Network.antenna;0.00052894514095987
binomialCQITwoChunks-230-20171219-21:46:01-4624;30;Network.antenna;0.00052788821341714
binomialCQITwoChunks-273-20171219-21:46:47-6336;73;Network.antenna;0.00052766719679775
binomialCQITwoChunks-257-20171219-21:46:30-1128;57;Network.antenna;0.00052732266678477
binomialCQITwoChunks-214-20171219-21:45:43-10672;14;Network.antenna;0.00052992738050779
binomialCQITwoChunks-212-20171219-21:45:41-468;12;Network.antenna;0.00052828937134814
binomialCQITwoChunks-247-20171219-21:46:21-8752;47;Network.antenna;0.0005287880097677
binomialCQITwoChunks-222-20171219-21:45:52-9144;22;Network.antenna;0.00052985300741535
binomialCQITwoChunks-239-20171219-21:46:13-11924;39;Network.antenna;0.00052936026025298
binomialCQITwoChunks-265-20171219-21:46:39-1348;65;Network.antenna;0.00052885161892918
binomialCQITwoChunks-291-20171219-21:47:08-3168;91;Network.antenna;0.00052926163938957
binomialCQITwoChunks-275-20171219-21:46:50-6464;75;Network.antenna;0.00052785156123134
binomialCQITwoChunks-245-20171219-21:46:18-8716;45;Network.antenna;0.00052799792150107
binomialCQITwoChunks-259-20171219-21:46:33-13104;59;Network.antenna;0.00052866503367156
binomialCQITwoChunks-232-20171219-21:46:04-6860;32;Network.antenna;0.00052906907976752
binomialCQITwoChunks-288-20171219-21:47:05-15160;88;Network.antenna;0.00052960671894559
binomialCQITwoChunks-216-20171219-21:45:46-10196;16;Network.antenna;0.00053083382197585
binomialCQITwoChunks-229-20171219-21:45:59-14580;29;Network.antenna;0.00052714506623235
binomialCQITwoChunks-250-20171219-21:46:22-2388;50;Network.antenna;0.00052928251125029
binomialCQITwoChunks-220-20171219-21:45:49-7512;20;Network.antenna;0.00052993620239721
binomialCQITwoChunks-202-20171219-21:45:29-12624;2;Network.antenna;0.00052996979913761
binomialCQITwoChunks-263-20171219-21:46:38-9960;63;Network.antenna;0.00052863715255653
binomialCQITwoChunks-293-20171219-21:47:10-13592;93;Network.antenna;0.00052822721675916
binomialCQITwoChunks-209-20171219-21:45:38-15320;9;Network.antenna;0.00052880161364038
binomialCQITwoChunks-234-20171219-21:46:05-1208;34;Network.antenna;0.0005295435086813
binomialCQITwoChunks-277-20171219-21:46:52-11008;77;Network.antenna;0.00052886531146213
binomialCQITwoChunks-251-20171219-21:46:25-14712;51;Network.antenna;0.00052943367193712
binomialCQITwoChunks-294-20171219-21:47:12-2916;94;Network.antenna;0.00052934482376464
binomialCQITwoChunks-227-20171219-21:45:58-13924;27;Network.antenna;0.00052822490147801
binomialCQITwoChunks-225-20171219-21:45:55-3096;25;Network.antenna;0.00052721762091537
binomialCQITwoChunks-261-20171219-21:46:35-3668;61;Network.antenna;0.00053015789811239
binomialCQITwoChunks-217-20171219-21:45:46-4568;17;Network.antenna;0.00052831471980117
binomialCQITwoChunks-287-20171219-21:47:04-12400;87;Network.antenna;0.00052813862370091
binomialCQITwoChunks-244-20171219-21:46:18-11744;44;Network.antenna;0.0005291227007622
binomialCQITwoChunks-200-20171219-21:45:29-10292;0;Network.antenna;0.00052830443305896
binomialCQITwoChunks-270-20171219-21:46:44-8200;70;Network.antenna;0.00052972340227599
binomialCQITwoChunks-210-20171219-21:45:38-2420;10;Network.antenna;0.00052904635138413
binomialCQITwoChunks-283-20171219-21:46:59-7620;83;Network.antenna;0.00052849362556208
binomialCQITwoChunks-240-20171219-21:46:13-7092;40;Network.antenna;0.00052804387469258
binomialCQITwoChunks-223-20171219-21:45:54-6872;23;Network.antenna;0.00052958228459285
binomialCQITwoChunks-296-20171219-21:47:15-7024;96;Network.antenna;0.00052958612703918
binomialCQITwoChunks-238-20171219-21:46:10-1468;38;Network.antenna;0.00052779854057668
binomialCQITwoChunks-253-20171219-21:46:26-7268;53;Network.antenna;0.00052817791222647
binomialCQITwoChunks-268-20171219-21:46:43-10584;68;Network.antenna;0.0005296793971991
binomialCQITwoChunks-266-20171219-21:46:39-15264;66;Network.antenna;0.00053080012965297
binomialCQITwoChunks-255-20171219-21:46:30-7340;55;Network.antenna;0.00053069998318228
binomialCQITwoChunks-279-20171219-21:46:55-9984;79;Network.antenna;0.00052939489178768
binomialCQITwoChunks-249-20171219-21:46:22-11504;49;Network.antenna;0.00053033474586376
binomialCQITwoChunks-298-20171219-21:47:18-5272;98;Network.antenna;0.00052872940349841
binomialCQITwoChunks-236-20171219-21:46:09-804;36;Network.antenna;0.00052678713860146
binomialCQITwoChunks-242-20171219-21:46:14-7028;42;Network.antenna;0.00052903119164434
binomialCQITwoChunks-219-20171219-21:45:48-4464;19;Network.antenna;0.0005302835780942
binomialCQITwoChunks-285-20171219-21:47:01-10024;85;Network.antenna;0.00052788394054511
binomialCQITwoChunks-272-20171219-21:46:47-5556;72;Network.antenna;0.0005285131434377
binomialCQITwoChunks-207-20171219-21:45:37-13740;7;Network.antenna;0.0005285419397887
binomialCQITwoChunks-256-20171219-21:46:30-2592;56;Network.antenna;0.00052640506558753
binomialCQITwoChunks-299-20171219-21:47:18-10736;99;Network.antenna;0.00052859010145258
binomialCQITwoChunks-221-20171219-21:45:50-3388;21;Network.antenna;0.00053046345275974
binomialCQITwoChunks-248-20171219-21:46:22-3868;48;Network.antenna;0.00052831413345968
binomialCQITwoChunks-264-20171219-21:46:39-6848;64;Network.antenna;0.00053002093551159
binomialCQITwoChunks-290-20171219-21:47:06-7780;90;Network.antenna;0.00052830095107788
binomialCQITwoChunks-231-20171219-21:46:03-10356;31;Network.antenna;0.00052690559944774
binomialCQITwoChunks-274-20171219-21:46:48-4888;74;Network.antenna;0.00053074087249426
binomialCQITwoChunks-205-20171219-21:45:33-8120;5;Network.antenna;0.00052820268487559
binomialCQITwoChunks-282-20171219-21:46:56-11048;82;Network.antenna;0.0005295112620768
binomialCQITwoChunks-213-20171219-21:45:42-15128;13;Network.antenna;0.00052859928100348
binomialCQITwoChunks-262-20171219-21:46:36-12660;62;Network.antenna;0.00052930349236896
