run;repetition;Module;throughput:mean
binomialCQITwoChunks-203-20171219-21:45:31-7112;3;Network.antenna;7487.3934734059
binomialCQITwoChunks-233-20171219-21:46:05-9540;33;Network.antenna;7482.6146376151
binomialCQITwoChunks-258-20171219-21:46:31-11868;58;Network.antenna;7526.2574860279
binomialCQITwoChunks-215-20171219-21:45:46-12416;15;Network.antenna;7451.8749791669
binomialCQITwoChunks-289-20171219-21:47:05-1172;89;Network.antenna;7500.1222208642
binomialCQITwoChunks-276-20171219-21:46:51-12296;76;Network.antenna;7488.4945722825
binomialCQITwoChunks-228-20171219-21:45:58-10732;28;Network.antenna;7485.7323807513
binomialCQITwoChunks-218-20171219-21:45:47-13348;18;Network.antenna;7486.2779302452
binomialCQITwoChunks-243-20171219-21:46:16-6256;43;Network.antenna;7474.8758347129
binomialCQITwoChunks-235-20171219-21:46:07-10256;35;Network.antenna;7491.0489883446
binomialCQITwoChunks-260-20171219-21:46:34-14176;60;Network.antenna;7511.1432095199
binomialCQITwoChunks-286-20171219-21:47:02-10356;86;Network.antenna;7525.6952700526
binomialCQITwoChunks-208-20171219-21:45:37-6488;8;Network.antenna;7493.3556293819
binomialCQITwoChunks-295-20171219-21:47:15-8140;95;Network.antenna;7466.8092576749
binomialCQITwoChunks-226-20171219-21:45:56-1152;26;Network.antenna;7494.3845068388
binomialCQITwoChunks-269-20171219-21:46:43-14452;69;Network.antenna;7538.0595771158
binomialCQITwoChunks-278-20171219-21:46:53-5864;78;Network.antenna;7474.5025055277
binomialCQITwoChunks-252-20171219-21:46:26-6588;52;Network.antenna;7498.1666870368
binomialCQITwoChunks-267-20171219-21:46:42-6488;67;Network.antenna;7490.9789891223
binomialCQITwoChunks-224-20171219-21:45:55-492;24;Network.antenna;7498.8033466295
binomialCQITwoChunks-297-20171219-21:47:15-8976;97;Network.antenna;7481.4913167631
binomialCQITwoChunks-237-20171219-21:46:09-13504;37;Network.antenna;7489.3578960234
binomialCQITwoChunks-284-20171219-21:47:00-1992;84;Network.antenna;7519.4308952123
binomialCQITwoChunks-206-20171219-21:45:35-14312;6;Network.antenna;7497.2300307774
binomialCQITwoChunks-271-20171219-21:46:47-4512;71;Network.antenna;7503.1344096177
binomialCQITwoChunks-241-20171219-21:46:13-2164;41;Network.antenna;7467.7548027244
binomialCQITwoChunks-211-20171219-21:45:39-11980;11;Network.antenna;7475.790268997
binomialCQITwoChunks-254-20171219-21:46:27-14972;54;Network.antenna;7489.1390095666
