run;repetition;Module;queuedPacketsPerSlot:mean
binomialCQITwoChunks-203-20171219-21:45:31-7112;3;Network.antenna;1.3914670325595
binomialCQITwoChunks-233-20171219-21:46:05-9540;33;Network.antenna;1.3890772714302
binomialCQITwoChunks-258-20171219-21:46:31-11868;58;Network.antenna;1.3944465801224
binomialCQITwoChunks-215-20171219-21:45:46-12416;15;Network.antenna;1.3827511598858
binomialCQITwoChunks-289-20171219-21:47:05-1172;89;Network.antenna;1.3904068992087
binomialCQITwoChunks-276-20171219-21:46:51-12296;76;Network.antenna;1.3879426831985
binomialCQITwoChunks-228-20171219-21:45:58-10732;28;Network.antenna;1.3911691680563
binomialCQITwoChunks-218-20171219-21:45:47-13348;18;Network.antenna;1.3859381778139
binomialCQITwoChunks-243-20171219-21:46:16-6256;43;Network.antenna;1.3860398701901
binomialCQITwoChunks-235-20171219-21:46:07-10256;35;Network.antenna;1.3856544153099
binomialCQITwoChunks-260-20171219-21:46:34-14176;60;Network.antenna;1.3925521479206
binomialCQITwoChunks-286-20171219-21:47:02-10356;86;Network.antenna;1.3926599593413
binomialCQITwoChunks-208-20171219-21:45:37-6488;8;Network.antenna;1.3887633205377
binomialCQITwoChunks-295-20171219-21:47:15-8140;95;Network.antenna;1.3826760249554
binomialCQITwoChunks-226-20171219-21:45:56-1152;26;Network.antenna;1.3949855108983
binomialCQITwoChunks-269-20171219-21:46:43-14452;69;Network.antenna;1.3991121484972
binomialCQITwoChunks-278-20171219-21:46:53-5864;78;Network.antenna;1.3827181581879
binomialCQITwoChunks-252-20171219-21:46:26-6588;52;Network.antenna;1.3891083605099
binomialCQITwoChunks-267-20171219-21:46:42-6488;67;Network.antenna;1.3872321666716
binomialCQITwoChunks-224-20171219-21:45:55-492;24;Network.antenna;1.3880406229043
binomialCQITwoChunks-297-20171219-21:47:15-8976;97;Network.antenna;1.3928165188942
binomialCQITwoChunks-237-20171219-21:46:09-13504;37;Network.antenna;1.3897977009112
binomialCQITwoChunks-284-20171219-21:47:00-1992;84;Network.antenna;1.3929983562131
binomialCQITwoChunks-206-20171219-21:45:35-14312;6;Network.antenna;1.3834996273679
binomialCQITwoChunks-271-20171219-21:46:47-4512;71;Network.antenna;1.391353469799
binomialCQITwoChunks-241-20171219-21:46:13-2164;41;Network.antenna;1.3883894283393
binomialCQITwoChunks-211-20171219-21:45:39-11980;11;Network.antenna;1.3860278700388
binomialCQITwoChunks-254-20171219-21:46:27-14972;54;Network.antenna;1.3890131493537
