run;repetition;Module;throughput:mean
uniformCQI-183-20171219-11:16:30-8052;83;Network.antenna;18760.080443551
uniformCQI-184-20171219-11:16:38-10624;84;Network.antenna;18738.501794425
uniformCQI-185-20171219-11:16:38-11152;85;Network.antenna;18733.73518072
uniformCQI-186-20171219-11:16:38-1032;86;Network.antenna;18780.129109677
uniformCQI-187-20171219-11:16:39-8868;87;Network.antenna;18755.932711859
uniformCQI-188-20171219-11:16:39-8592;88;Network.antenna;18738.381795758
uniformCQI-189-20171219-11:16:39-908;89;Network.antenna;18721.696425595
uniformCQI-190-20171219-11:16:39-4816;90;Network.antenna;18764.857057144
uniformCQI-191-20171219-11:16:40-7916;91;Network.antenna;18728.670792547
uniformCQI-192-20171219-11:16:47-11340;92;Network.antenna;18781.954644948
uniformCQI-193-20171219-11:16:47-11048;93;Network.antenna;18747.977244697
uniformCQI-194-20171219-11:16:48-12576;94;Network.antenna;18745.057277141
uniformCQI-195-20171219-11:16:49-6372;95;Network.antenna;18768.827013033
uniformCQI-196-20171219-11:16:49-4860;96;Network.antenna;18785.847935023
uniformCQI-197-20171219-11:16:49-11796;97;Network.antenna;18770.158109354
uniformCQI-198-20171219-11:16:49-10116;98;Network.antenna;18771.684759058
uniformCQI-199-20171219-11:16:49-2512;99;Network.antenna;18810.874323619
