run;repetition;Module;queuedPacketsPerSlot:mean
uniformCQI-181-20171219-11:16:29-2268;81;Network.antenna;3.6200746317027
uniformCQI-182-20171219-11:16:30-7572;82;Network.antenna;3.6285688342349
uniformCQI-183-20171219-11:16:30-8052;83;Network.antenna;3.6294363392154
uniformCQI-184-20171219-11:16:38-10624;84;Network.antenna;3.6259352961346
uniformCQI-185-20171219-11:16:38-11152;85;Network.antenna;3.6151746512623
uniformCQI-186-20171219-11:16:38-1032;86;Network.antenna;3.6300486476184
uniformCQI-187-20171219-11:16:39-8868;87;Network.antenna;3.6231673859918
uniformCQI-188-20171219-11:16:39-8592;88;Network.antenna;3.620351800708
uniformCQI-189-20171219-11:16:39-908;89;Network.antenna;3.6124356578108
uniformCQI-190-20171219-11:16:39-4816;90;Network.antenna;3.6059773210253
uniformCQI-191-20171219-11:16:40-7916;91;Network.antenna;3.603763106451
uniformCQI-192-20171219-11:16:47-11340;92;Network.antenna;3.6432916966294
uniformCQI-193-20171219-11:16:47-11048;93;Network.antenna;3.6155295800643
uniformCQI-194-20171219-11:16:48-12576;94;Network.antenna;3.6187203664242
uniformCQI-195-20171219-11:16:49-6372;95;Network.antenna;3.6109291275083
uniformCQI-196-20171219-11:16:49-4860;96;Network.antenna;3.6364524744174
uniformCQI-197-20171219-11:16:49-11796;97;Network.antenna;3.6291357512877
uniformCQI-198-20171219-11:16:49-10116;98;Network.antenna;3.6270873736103
uniformCQI-199-20171219-11:16:49-2512;99;Network.antenna;3.6279915166016
