throughput:mean
41.528.241.908.423
41.538.814.013.178
41.539.989.555.672
41.541.916.200.931
41.544.247.286.141
41.550.406.106.599
4.155.462.605.971
41.565.327.051.922
41.580.852.434.973
41.591.508.983.234
41.594.945.611.715
41.600.996.655.593
41.601.166.653.704
41.604.903.278.852
41.605.026.610.815
41.607.134.365.174
4.160.963.989.289
4.161.044.988.389
41.612.638.748.458
41.620.535.327.385
4.162.550.860.546
41.627.220.808.658
41.630.300.774.436
41.631.140.765.103
41.631.414.095.399
41.631.465.205.942
41.632.761.858.202
41.635.928.489.683
41.638.718.458.684
41.639.872.890.301
41.640.483.994.622
4.164.569.727.003
41.646.986.144.598
41.650.632.770.747
4.165.182.720.192
41.652.986.077.932
41.653.884.956.834
41.657.167.142.587
41.657.858.246.019
41.659.253.786.069
41.659.889.334.563
41.660.261.552.649
416.615.659.826
41.662.298.196.687
41.663.529.294.119
41.664.358.173.798
41.665.278.163.576
41.666.947.033.922
41.668.353.684.959
41.671.740.313.997
41.672.002.533.305
4.167.215.142.054
41.672.506.972.145
4.167.311.474.317
41.674.165.842.602
41.675.250.274.997
4.167.546.360.596
41.675.588.049.022
41.675.772.491.417
4.167.724.580.838
41.678.421.350.874
41.680.326.885.257
41.680.397.995.578
41.683.535.738.492
41.685.244.608.393
41.685.624.604.171
41.686.407.928.801
41.686.547.927.245
41.689.059.010.455
41.689.682.336.863
4.169.235.786.269
41.695.636.715.148
4.169.583.226.853
41.697.378.918.012
41.698.192.242.308
41.701.247.763.914
41.702.109.976.556
4.170.252.886.079
41.704.532.171.865
4.170.944.211.731
41.710.013.222.075
41.710.726.547.483
41.712.687.636.804
41.717.272.030.311
4.172.084.643.504
41.720.984.211.287
41.721.407.539.916
41.722.478.639.126
4.172.542.749.525
41.725.965.267.053
4.172.613.859.846
41.730.437.439.584
4.173.342.073.977
41.737.476.250.264
41.738.977.344.696
41.745.965.044.833
41.759.773.780.291
41.762.830.412.995
41.764.861.501.539
4.178.270.908.101
