queuedPacketsPerSlot:mean
18.632.300.988.357
18.468.280.789.909
184.961.835.281
18.067.664.137.823
18.274.367.843.117
18.365.897.993.175
18.467.643.393.861
18.608.877.738.851
18.378.735.947.039
18.475.761.817.259
18.418.316.255.773
18.501.761.349.723
18.484.055.767.258
18.261.420.729.182
18.158.817.735.436
18.579.724.345.396
18.520.657.032.822
18.173.808.443.366
18.382.300.636.208
1.836.503.830.556
18.317.494.580.627
19.177.849.452.304
18.324.060.612.736
18.482.400.206.102
18.590.226.167.759
18.172.459.435.635
18.764.470.432.059
18.258.659.293.266
18.487.802.998.401
18.072.866.953.468
18.288.251.987.628
18.791.370.295.092
18.639.783.880.606
18.048.243.545.537
18.622.120.579.911
1.829.890.345.945
18.885.069.207.454
18.399.705.014.749
18.346.722.865.943
1.831.550.292.599
18.614.397.042.432
18.173.599.670.699
18.295.779.432.422
18.635.120.530.093
18.232.821.226.739
18.285.788.069.051
18.213.753.244.818
18.639.592.044.688
18.918.484.608.995
18.317.029.242.875
18.508.713.654.851
18.484.259.988.792
18.654.435.244.413
18.315.766.622.086
18.543.949.027.055
18.012.938.813.409
18.459.391.035.412
18.253.831.109.055
18.486.707.431.521
18.116.133.836.515
18.280.413.959.236
17.924.204.795.548
18.518.214.000.963
1.835.824.388.758
18.441.137.171.833
18.464.996.351.208
18.234.005.635.106
18.598.342.929.545
18.509.044.299.998
18.364.959.637.032
1.856.849.096.501
18.615.942.088.791
18.234.499.624.364
18.228.375.404.935
186.398.761.085
19.014.757.607.217
18.469.463.004.616
18.334.244.401.744
18.325.909.221.385
18.537.938.990.238
18.250.593.071.676
18.443.559.081.135
18.674.682.998.044
18.138.036.533.458
18.419.627.281.467
18.822.684.019.519
18.570.960.896.018
18.566.788.686.562
18.781.529.740.683
18.292.036.177.189
18.373.421.329.732
18.711.440.912.981
18.265.588.965.315
18.601.535.869.068
18.519.059.877.299
18.354.892.840.941
18.279.249.711.654
18.449.348.088.251
18.487.472.794.918
18.619.028.937.551
